code,name,name_en,parent_code,balance_nature,is_summary,is_foreign_currency,detail_tracking,is_locked
111,Tiền mặt,,,0,1,0,,1
1111,Tiền Việt Nam,,111,0,0,0,,0
1112,Ngoại tệ,,111,0,0,1,,0
112,Tiền gửi ngân hàng,,,0,1,0,,1
1121,Tiền Việt Nam,,112,0,0,0,bank_account,0
1122,Ngoại tệ,,112,0,0,1,bank_account,0
121,Chứng khoán kinh doanh,,,0,0,0,,1
128,Đầu tư nắm giữ đến ngày đáo hạn,,,0,1,0,,1
1281,Tiền gửi có kỳ hạn,,128,0,0,0,,0
1288,Các khoản đầu tư khác,,128,0,0,0,,0
131,Phải thu của khách hàng,,,2,0,0,customer,1
133,Thuế GTGT được khấu trừ,,,0,1,0,,1
1331,"Thuế GTGT của hàng hóa, dịch vụ",,133,0,0,0,,0
1332,Thuế GTGT của TSCĐ,,133,0,0,0,,0
136,Phải thu nội bộ,,,2,1,0,,1
1361,Vốn kinh doanh ở đơn vị trực thuộc,,136,2,0,0,,0
1368,Phải thu nội bộ khác,,136,2,0,0,,0
138,Phải thu khác,,,2,1,0,,1
1381,Tài sản thiếu chờ xử lý,,138,2,0,0,,0
1386,"Cầm cố, thế chấp, ký quỹ",,138,2,0,0,,0
1388,Phải thu khác,,138,2,0,0,,0
141,Tạm ứng,,,0,0,0,employee,1
151,Hàng mua đang đi đường,,,0,0,0,item;warehouse,1
152,"Nguyên liệu, vật liệu",,,0,0,0,item;warehouse,1
153,"Công cụ, dụng cụ",,,0,0,0,item;warehouse,1
154,"Chi phí sản xuất, kinh doanh dở dang",,,0,0,0,cost_object,1
155,Sản phẩm,,,0,0,0,item;warehouse,1
156,Hàng hóa,,,0,0,0,item;warehouse,1
211,Tài sản cố định hữu hình,,,0,1,0,,1
2111,Tài sản cố định hữu hình - Đất,,211,0,0,0,,0
2112,"Tài sản cố định hữu hình - Nhà, công trình",,211,0,0,0,,0
2113,"Tài sản cố định hữu hình - Máy móc, thiết bị",,211,0,0,0,,0
214,Hao mòn tài sản cố định,,,1,1,0,,1
2141,Hao mòn TSCĐ hữu hình,,214,1,0,0,,0
2142,Hao mòn TSCĐ vô hình,,214,1,0,0,,0
217,Bất động sản đầu tư,,,0,0,0,,1
228,Đầu tư khác,,,0,1,0,,1
2281,Đầu tư góp vốn vào đơn vị khác,,228,0,0,0,,0
2288,Đầu tư khác,,228,0,0,0,,0
229,Dự phòng tổn thất tài sản,,,1,1,0,,1
2291,Dự phòng giảm giá chứng khoán,,229,1,0,0,,0
2292,Dự phòng tổn thất đầu tư,,229,1,0,0,,0
2293,Dự phòng phải thu khó đòi,,229,1,0,0,,0
2294,Dự phòng giảm giá hàng tồn kho,,229,1,0,0,,0
241,Xây dựng cơ bản dở dang,,,0,0,0,,1
242,Chi phí chờ phân bổ,,,0,0,0,,1
331,Phải trả cho người bán,,,2,0,0,vendor,1
333,Thuế và các khoản phải nộp nhà nước,,,2,1,0,,1
3331,Thuế giá trị gia tăng phải nộp,,333,2,1,0,,0
33311,Thuế GTGT đầu ra,,3331,2,0,0,,0
3332,Thuế tiêu thụ đặc biệt,,333,2,0,0,,0
3333,"Thuế xuất, nhập khẩu",,333,2,0,0,,0
3334,Thuế thu nhập doanh nghiệp,,333,2,0,0,,0
3335,Thuế thu nhập cá nhân,,333,2,0,0,,0
3339,"Phí, lệ phí và các khoản phải nộp khác",,333,2,0,0,,0
334,Phải trả người lao động,,,2,0,0,employee,1
335,Chi phí phải trả,,,1,0,0,,1
336,Phải trả nội bộ,,,2,1,0,,1
3361,Phải trả nội bộ về vốn kinh doanh,,336,2,0,0,,0
3368,Phải trả nội bộ khác,,336,2,0,0,,0
338,"Phải trả, phải nộp khác",,,2,1,0,,1
3381,Tài sản thừa chờ giải quyết,,338,2,0,0,,0
3388,"Phải trả, phải nộp khác",,338,2,0,0,,0
341,Vay và nợ thuê tài chính,,,1,1,0,,1
3411,Các khoản đi vay,,341,1,0,0,,0
3412,Nợ thuê tài chính,,341,1,0,0,,0
352,Dự phòng phải trả,,,1,1,0,,1
3521,Dự phòng bảo hành,,352,1,0,0,,0
3525,Dự phòng khác,,352,1,0,0,,0
353,"Quỹ khen thưởng, phúc lợi",,,1,1,0,,1
3531,Quỹ khen thưởng,,353,1,0,0,,0
3532,Quỹ phúc lợi,,353,1,0,0,,0
411,Vốn đầu tư của chủ sở hữu,,,1,1,0,,1
4111,Vốn góp của chủ sở hữu,,411,1,0,0,,0
4112,Thặng dư vốn,,411,1,0,0,,0
413,Chênh lệch tỷ giá hối đoái,,,2,0,0,,1
418,Các quỹ khác của vốn chủ sở hữu,,,1,0,0,,1
421,Lợi nhuận sau thuế chưa phân phối,,,2,1,0,,1
4211,Lợi nhuận sau thuế chưa phân phối lũy kế,,421,2,0,0,,0
4212,Lợi nhuận sau thuế chưa phân phối năm nay,,421,2,0,0,,0
511,Doanh thu bán hàng và cung cấp dịch vụ,,,3,1,0,,1
5111,Doanh thu bán hàng,,511,3,0,0,,0
5112,Doanh thu cung cấp dịch vụ,,511,3,0,0,,0
515,Doanh thu hoạt động tài chính,,,3,0,0,,1
611,Mua hàng,,,3,0,0,,1
631,Chi phí sản xuất,,,3,0,0,,1
632,Giá vốn hàng bán,,,3,0,0,,1
635,Chi phí tài chính,,,3,0,0,,1
642,Chi phí quản lý doanh nghiệp,,,3,1,0,,1
6421,Chi phí quản lý,,642,3,0,0,,0
6422,Chi phí bán hàng,,642,3,0,0,,0
711,Thu nhập khác,,,3,0,0,,1
811,Chi phí khác,,,3,0,0,,1
821,Chi phí thuế thu nhập doanh nghiệp,,,3,0,0,,1
911,Xác định kết quả kinh doanh,,,3,0,0,,1
